text,label
engine overheats after driving for 15 minutes,engine_service
car loses power while going uphill,engine_service
oil is leaking from under the engine,engine_service
engine makes knocking sound when accelerating,engine_service
white smoke comes from the exhaust after startup,engine_service
car shakes while the engine is idling,engine_service
engine temperature becomes high in traffic,engine_service
check engine light is on and the car feels weak,engine_service
engine stalls when I stop at a red light,engine_service
rough engine sound happens in the morning,engine_service
car jerks when I press the gas pedal,engine_service
engine misfires during acceleration,engine_service
burning smell comes from the engine area,engine_service
coolant level keeps dropping every week,engine_service
engine response is very slow when overtaking,engine_service
black smoke appears when I speed up,engine_service
engine vibrates badly when the car is parked,engine_service
the motor feels weak on long drives,engine_service
temperature gauge rises quickly after starting,engine_service
there is rattling noise from the engine bay,engine_service
car suddenly stops while idling,engine_service
the engine sounds louder than normal lately,engine_service
oil smell comes from the front of the car,engine_service
the vehicle struggles to accelerate on the highway,engine_service
there is steam near the hood after driving,engine_service
engine feels unstable at low speed,engine_service
car sputters when I try to move fast,engine_service
overheating happens especially in traffic jams,engine_service
the engine warning light blinks while driving,engine_service
engine loses power after 20 minutes of driving,engine_service
the motor shakes after cold start,engine_service
exhaust smoke increases when I press the accelerator,engine_service
car feels underpowered when carrying passengers,engine_service
engine cuts out when slowing down,engine_service
the car gets hot and smells burnt,engine_service
rough idle starts right after turning on the car,engine_service
the engine has tapping noise from the front side,engine_service
power drops suddenly while driving uphill,engine_service
car vibrates before moving forward,engine_service
the engine gets hot even on short trips,engine_service
there is knocking noise whenever I speed up,engine_service
coolant seems to leak and the engine heats up,engine_service
engine hesitates when I step on the gas,engine_service
the motor sounds rough while waiting at signals,engine_service
car stalls when I leave it idling too long,engine_service
heat and smoke come from the engine compartment,engine_service
vehicle jerks and feels rough during acceleration,engine_service
engine runs unevenly after startup,engine_service
the car becomes noisy from the engine side,engine_service
temperature rises fast when the AC is on,engine_service
there is oil dripping under the front area,engine_service
engine struggles to maintain power on highways,engine_service
the motor shakes and makes clicking sounds,engine_service
the car feels weak and slow to respond,engine_service
engine overheating happens after climbing hills,engine_service
car stops suddenly when parked with engine on,engine_service
the engine feels rough and unstable in the morning,engine_service
power loss and engine noise happen together,engine_service
the hood area becomes very hot after a short drive,engine_service
the engine misfires and vibrates under load,engine_service
the engine revs up but the car barely moves forward,engine_service
my car feels very weak when climbing bridges,engine_service
there is a heavy fuel smell coming from the engine bay,engine_service
the engine keeps shaking after I fill fuel,engine_service
the motor almost dies when I turn the steering at idle,engine_service
the car has poor pickup and slow acceleration all day,engine_service
I hear a deep knocking sound from the engine on cold mornings,engine_service
the engine becomes noisy after driving for a long time,engine_service
the vehicle struggles badly when I try to overtake,engine_service
there is smoke from the hood after stopping the car,engine_service
the engine feels rough whenever I start it after parking overnight,engine_service
my car loses power with no warning during driving,engine_service
the engine sound becomes harsh when the speed increases,engine_service
the vehicle jerks several times before accelerating properly,engine_service
the motor temperature rises fast when the car is not moving,engine_service
there is a strong hot smell from under the hood,engine_service
the engine idles unevenly with the AC turned off,engine_service
the car feels like it will shut off when waiting in traffic,engine_service
I can hear popping sounds from the engine area,engine_service
the engine struggles more when the car is fully loaded,engine_service
my car responds late when I press the accelerator,engine_service
the vehicle becomes very hot after a short highway trip,engine_service
engine performance drops after a few minutes of driving,engine_service
the motor sounds rough and heavy at low speed,engine_service
the car vibrates strongly when standing with the engine on,engine_service
there is repeated misfiring when I try to speed up quickly,engine_service
the temperature needle reaches high levels too often,engine_service
the engine loses strength when going uphill with passengers,engine_service
the car feels like it is choking during acceleration,engine_service
there is steam and a burnt odor near the front hood area,engine_service
the engine rpm feels unstable while parked,engine_service
the motor makes unusual ticking sounds after startup,engine_service
the vehicle becomes sluggish after driving in hot weather,engine_service
the engine almost stalls when I slow down near intersections,engine_service
there is a loud humming and roughness from the engine side,engine_service
my car cannot gain speed smoothly anymore,engine_service
the engine heat becomes worse when I drive in the city,engine_service
the vehicle hesitates badly before moving from a stop,engine_service
the motor sounds strained even on normal roads,engine_service
the engine feels weak and overheated at the same time,engine_service
car does not start and the battery seems dead,electrical_battery_service
battery keeps draining overnight,electrical_battery_service
dashboard lights flicker while driving,electrical_battery_service
headlights become dim when the car is idle,electrical_battery_service
power windows stopped working suddenly,electrical_battery_service
horn is not working at all,electrical_battery_service
battery warning light is on,electrical_battery_service
car only clicks when I try to start it,electrical_battery_service
phone charger socket is not working,electrical_battery_service
central lock does not respond,electrical_battery_service
interior lights keep turning off and on,electrical_battery_service
screen and dashboard electronics restart randomly,electrical_battery_service
wipers are moving very slowly,electrical_battery_service
car needs a jump start every morning,electrical_battery_service
rear lights stopped working suddenly,electrical_battery_service
the car battery dies after parking overnight,electrical_battery_service
ignition makes a clicking sound but the engine will not start,electrical_battery_service
front lights become weak at night,electrical_battery_service
the windows and mirrors stopped responding,electrical_battery_service
